"days","degdays","subj","taxa","type","counts","fracBySubjDay"
0,0,"A6","Malasseziaceae","euk",1,0.000230414746543779
0,0,"A6","Microbacteriaceae","bac",388,0.0079332624519506
0,0,"A6","Micrococcaceae","bac",1286,0.0262942667866198
0,0,"A6","Moraxellaceae","bac",4872,0.0996156048090292
0,0,"A6","Mucoraceae","euk",28,0.00645161290322581
0,0,"A6","Oligohymenophorea","euk",48,0.0110599078341014
0,0,"A6","Opiliones","euk",0,0
0,0,"A6","Oxalobacteraceae","bac",47,0.000960987977427006
0,0,"A6","Paraprevotellaceae","bac",101,0.0020651018238325
0,0,"A6","Peptostreptococcaceae","bac",150,0.00306698290668193
0,0,"A6","Peronosporomycetes","euk",1,0.000230414746543779
0,0,"A6","Phaeosphaeriaceae","euk",0,0
0,0,"A6","Phaffomycetaceae","euk",5,0.00115207373271889
0,0,"A6","Pichiaceae","euk",21,0.00483870967741936
0,0,"A6","Planococcaceae","bac",2036,0.0416291813200294
0,0,"A6","Poales","euk",128,0.0294930875576037
0,0,"A6","Porphyromonadaceae","bac",70,0.0014312586897849
0,0,"A6","Prevotellaceae","bac",44,0.000899648319293367
0,0,"A6","Pseudomonadaceae","bac",137,0.00280117772143617
0,0,"A6","Ranunculales","euk",0,0
0,0,"A6","Rare","bac",1883,0.0385008587552139
0,0,"A6","Rare","euk",69,0.0158986175115207
0,0,"A6","Rhabditida","euk",2495,0.574884792626728
